date,status,case
2021-10-19,In Home Recovery Programme,16377
2021-10-19,In Community Care Facilities,3812
2021-10-19,In COVID-19 Treatment Facilities,851
2021-10-19,In Hospital,1738
2021-10-20,In Home Recovery Programme,17084
2021-10-20,In Community Care Facilities,3941
2021-10-20,In COVID-19 Treatment Facilities,887
2021-10-20,In Hospital,1718
2021-10-21,In Home Recovery Programme,17617
2021-10-21,In Community Care Facilities,4223
2021-10-21,In COVID-19 Treatment Facilities,880
2021-10-21,In Hospital,1613
2021-10-22,In Home Recovery Programme,17766
2021-10-22,In Community Care Facilities,4645
2021-10-22,In COVID-19 Treatment Facilities,921
2021-10-22,In Hospital,1609
2021-10-23,In Home Recovery Programme,17725
2021-10-23,In Community Care Facilities,4796
2021-10-23,In COVID-19 Treatment Facilities,960
2021-10-23,In Hospital,1680
2021-10-24,In Home Recovery Programme,17862
2021-10-24,In Community Care Facilities,4817
2021-10-24,In COVID-19 Treatment Facilities,961
2021-10-24,In Hospital,1738
2021-10-25,In Home Recovery Programme,18279
2021-10-25,In Community Care Facilities,4626
2021-10-25,In COVID-19 Treatment Facilities,952
2021-10-25,In Hospital,1779
