day_of_as_of_date,age_groups,clinical_status,count_of_case
2021-09-28,70 years old and above,Deceased (based on date of death),4
2021-09-29,70 years old and above,Deceased (based on date of death),8
2021-09-30,70 years old and above,Deceased (based on date of death),6
2021-10-01,70 years old and above,Deceased (based on date of death),4
2021-10-02,70 years old and above,Deceased (based on date of death),3
2021-10-03,70 years old and above,Deceased (based on date of death),4
2021-10-04,70 years old and above,Deceased (based on date of death),9
2021-10-05,70 years old and above,Deceased (based on date of death),2
2021-10-06,70 years old and above,Deceased (based on date of death),5
2021-10-07,70 years old and above,Deceased (based on date of death),2
2021-10-08,70 years old and above,Deceased (based on date of death),5
2021-10-09,70 years old and above,Deceased (based on date of death),10
2021-10-10,70 years old and above,Deceased (based on date of death),9
2021-10-11,70 years old and above,Deceased (based on date of death),9
2021-10-12,70 years old and above,Deceased (based on date of death),10
2021-10-13,70 years old and above,Deceased (based on date of death),8
2021-10-14,70 years old and above,Deceased (based on date of death),11
2021-10-15,70 years old and above,Deceased (based on date of death),5
2021-10-16,70 years old and above,Deceased (based on date of death),8
2021-10-17,70 years old and above,Deceased (based on date of death),4
2021-10-18,70 years old and above,Deceased (based on date of death),8
2021-10-19,70 years old and above,Deceased (based on date of death),9
2021-10-20,70 years old and above,Deceased (based on date of death),10
2021-10-21,70 years old and above,Deceased (based on date of death),8
2021-10-22,70 years old and above,Deceased (based on date of death),9
2021-10-23,70 years old and above,Deceased (based on date of death),10
2021-10-24,70 years old and above,Deceased (based on date of death),11
2021-10-25,70 years old and above,Deceased (based on date of death),5
2021-09-28,70 years old and above,Critically ill and Intubated in ICU,17
2021-09-29,70 years old and above,Critically ill and Intubated in ICU,20
2021-09-30,70 years old and above,Critically ill and Intubated in ICU,21
2021-10-01,70 years old and above,Critically ill and Intubated in ICU,19
2021-10-02,70 years old and above,Critically ill and Intubated in ICU,19
2021-10-03,70 years old and above,Critically ill and Intubated in ICU,21
2021-10-04,70 years old and above,Critically ill and Intubated in ICU,22
2021-10-05,70 years old and above,Critically ill and Intubated in ICU,21
2021-10-06,70 years old and above,Critically ill and Intubated in ICU,26
2021-10-07,70 years old and above,Critically ill and Intubated in ICU,25
2021-10-08,70 years old and above,Critically ill and Intubated in ICU,25
2021-10-09,70 years old and above,Critically ill and Intubated in ICU,26
2021-10-10,70 years old and above,Critically ill and Intubated in ICU,24
2021-10-11,70 years old and above,Critically ill and Intubated in ICU,22
2021-10-12,70 years old and above,Critically ill and Intubated in ICU,23
2021-10-13,70 years old and above,Critically ill and Intubated in ICU,26
2021-10-14,70 years old and above,Critically ill and Intubated in ICU,25
