day_of_as_of_date,age_groups,clinical_status,count_of_case
2022-07-11,70 years old and above,Deceased (based on date of death),1
2022-07-12,70 years old and above,Deceased (based on date of death),4
2022-07-13,70 years old and above,Deceased (based on date of death),2
2022-07-14,70 years old and above,Deceased (based on date of death),4
2022-07-15,70 years old and above,Deceased (based on date of death),2
2022-07-16,70 years old and above,Deceased (based on date of death),2
2022-07-17,70 years old and above,Deceased (based on date of death),3
2022-07-18,70 years old and above,Deceased (based on date of death),3
2022-07-19,70 years old and above,Deceased (based on date of death),7
2022-07-20,70 years old and above,Deceased (based on date of death),3
2022-07-21,70 years old and above,Deceased (based on date of death),4
2022-07-22,70 years old and above,Deceased (based on date of death),3
2022-07-23,70 years old and above,Deceased (based on date of death),3
2022-07-24,70 years old and above,Deceased (based on date of death),1
2022-07-25,70 years old and above,Deceased (based on date of death),5
2022-07-26,70 years old and above,Deceased (based on date of death),2
2022-07-27,70 years old and above,Deceased (based on date of death),1
2022-07-28,70 years old and above,Deceased (based on date of death),3
2022-07-29,70 years old and above,Deceased (based on date of death),6
2022-07-30,70 years old and above,Deceased (based on date of death),2
2022-07-31,70 years old and above,Deceased (based on date of death),3
2022-08-01,70 years old and above,Deceased (based on date of death),1
2022-08-02,70 years old and above,Deceased (based on date of death),2
2022-08-03,70 years old and above,Deceased (based on date of death),3
2022-08-04,70 years old and above,Deceased (based on date of death),1
2022-08-05,70 years old and above,Deceased (based on date of death),1
2022-08-06,70 years old and above,Deceased (based on date of death),2
2022-07-11,70 years old and above,ICU,13
2022-07-12,70 years old and above,ICU,13
2022-07-13,70 years old and above,ICU,13
2022-07-14,70 years old and above,ICU,14
2022-07-15,70 years old and above,ICU,13
2022-07-16,70 years old and above,ICU,12
2022-07-17,70 years old and above,ICU,11
2022-07-18,70 years old and above,ICU,11
2022-07-19,70 years old and above,ICU,7
2022-07-20,70 years old and above,ICU,11
2022-07-21,70 years old and above,ICU,11
2022-07-22,70 years old and above,ICU,10
2022-07-23,70 years old and above,ICU,8
2022-07-24,70 years old and above,ICU,13
2022-07-25,70 years old and above,ICU,13
2022-07-26,70 years old and above,ICU,12
2022-07-27,70 years old and above,ICU,12
2022-07-28,70 years old and above,ICU,14
2022-07-29,70 years old and above,ICU,15
2022-07-30,70 years old and above,ICU,11
2022-07-31,70 years old and above,ICU,10
2022-08-01,70 years old and above,ICU,10
2022-08-02,70 years old and above,ICU,10
2022-08-03,70 years old and above,ICU,9
2022-08-04,70 years old and above,ICU,11
2022-08-05,70 years old and above,ICU,12
2022-08-06,70 years old and above,ICU,9
2022-08-07,70 years old and above,ICU,13
2022-07-11,70 years old and above,Requires Oxygen Supplementation in General Ward,58
2022-07-12,70 years old and above,Requires Oxygen Supplementation in General Ward,63
